Revenue (d2);Labor (l1);Variable Cost (n2a, n2e, n2f, n2b);Investment in new capital (n5a, n5b);Raw Materials Cost (n2e)
40000000000;290;30000000000;550000000;20000000000
40000000000;30;730000000;400000000;200000000
40000000000;200;350000000;8000000000;0
40000000000;1000;22400000000;0;0
40000000000;35;3080000000;5000000000;1000000000
40000000000;25;37450000000;0;35000000000
40000000000;900;41200000000;3000000000;11200000000
40000000000;822;34025000960;0;18705000448
40000000000;65;26940000000;0;240000000
40000000000;19;340000000;0;
40000000000;50;34700000000;0;25000000000
40000000000;15;20000000000;10000000000;
40000000000;20;2000000000;0;
40000000000;15;600000000;3000000000;
40000000000;65;2010000000;40000000;
40000000000;180;32120000000;0;25000000000
40000000000;150;30800000000;20000000000;4000000000
40000000000;50;28240000000;2000000000;20000000000
40000000000;370;17250000000;500000000;1000000000
40000000000;30;30600000000;2000000000;24000000000
40000000000;70;670000000;1000000000;
40000000000;100;12400000000;2000000000;2000000000
40000000000;150;38000000000;4000000000;17000000000
40000000000;145;11354000000;0;
40000000000;300;34590000000;500000000;12000000000
40000000000;50;500000000;4700000000;
40000000000;50;25600000000;2500000000;22000000000
40000000000;54;1800000000;2200000000;
40000000000;35;31900000000;2000000000;30000000000
40000000000;300;4000000000;0;
40055001088;72;30606999424;637000000;29184999424
40192999424;120;22858799872;52535001088;20677799936
40540000000;40;5362000000;500000000;4000000000
40592998400;191;38135999744;320000000;34467999744
40696999936;97;37438999552;0;34638999552
40763998208;300;38046000640;600000000;32006000640
41000000000;240;35000000000;0;22000000000
41000000000;100;17900000000;5000000000;15000000000
41000000000;60;36730000000;500000000;35000000000
41000000000;70;34420000000;1700000000;32000000000
41000000000;125;23000000000;12700000000;15000000000
41000000000;6;430000000;0;
41000000000;6;36550000000;500000000;33200000000
41000000000;418;30500000000;1200000000;15700000000
41080000512;22;33814999872;92000000;33169999872
41230000128;239;32185000704;0;29030000640
41277001728;1270;37392000000;2824000000;24693000192
41308999680;130;31446000640;528000000;25883000832
41551998976;233;35573999616;0;32661999616
41558999040;75;38751001088;3737000064;37751001088
41744000000;13;300000000;0;
42000000000;320;18177000000;0;0
42000000000;10;35296000000;0;35000000000
42000000000;16;1012000000;400000000;
42048999424;620;35572000256;6996000000;29923000320
